channel_id,channel_title,subscriber_count,video_count,view_count_total
UCfIZB4PmH8LPesRVZNjDRxQ,Circus Craft,129000,40,34325117
UCmp5y07YIV6i2jPX4x82hVQ,Hollow,5160000,6859,1887454106
UCClc972nxK3t9y9J14XjNaw,Krissy Plays,88700,275,9868670
UCQ2ekJKstd4fFoBE2eiTtZw,Zod,65800,32,30302191
UCRjVwtLyjkTACkezRGMBeVg,Rohit997,10100,423,4553713
UCVAYy7_zddIx6USjXscV9Vg,Caylus  ,20900000,2295,8598992772
UCzVXdulvpgEoI8yuFMmhxJw,The GTA Assassin,297000,633,77474486
UC954okYv4un2EsXwQf7vO0A,GTA cast,1270,40,252082
UCnvJVzZFFEjX9fNZFXzQbfw,Blind Wave Gaming,51700,1652,10258272
UC9GUU32-g3KBGqoxh07d21g,AdamosPlay,8580,503,3976820
UCcLqYr4hE7yniudSaZVmFSA,Jettro Jettro,285000,667,78873700
UCFJ1pr8iwWPeQjmeHnPhqvA,Red,351000,464,84299577
UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,51400000,1167,15787341202
UC1NT5uX19bs5kNeVRdUJo5g,Buckacherz,93600,1115,48501437
UC1sELGmy5jp5fQUugmuYlXQ,Minecraft,19200000,1392,3720162099
UC1lhPLKGjvdmPQzXaKbujmA,Locked,17200,74,2503762
UCLkbzkgGAuucwp0ODXvP99A,mokka gamer sha ,318000,1557,54877106
UCrYzZOXdiFRAjyrg0bESPCw,slbAndre,16700,8,3131077
UCTbtlMEiBfs0zZLQyJzR0Uw,tarik,1020000,2448,495742018
UCh7NCnaTPe4aghPmJz4qRRQ,Valo Pro Replays,20600,344,7188446
UC8aCmG_y4DqqVI9Xlcym1Jg,XXII,138000,2662,49211186
UCvivWLQ0IERCKYU8wn_rV6w,GTA infinity,13700,354,4084522
UCSQ7hHnWkDMyDBEp-h1Pqbg,8bit Binks69,375000,3344,226738662
UCjuR1Vd26cYRMx6qCPMzI2A,TotalWeGames,324000,5584,127655397
UC9CowaN91gLuFaFF92t9fWQ,Gaming Pathshala,450000,999,178299832
UCk1F1Z-lvXf0dQ-lnMgZyHQ,The Mirandalorian,195000,934,42897327
UCYT8_Pq4zZgaMyuw9HYYe6g,StratoZen,8520,25,4060983
UC9YD_Zx4vTe60GU_EvtjcAA,Video Kames,77200,236,13130409
UCyK5hrNdv4293IyUXs19wXw,DEFUSED DEVIL 2.0,279000,259,68099280
UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,18000000,7089,13246382529
UC7G9LcjmRJdEMDS-je-2t_w,Kaemi,799000,1168,242495919
UCY9l-w7ePGbLWkXXzJki1DA,Farzy 2,70500,77,30150307
UCz_LSBWQPFLBcW0BzmyZAKQ,bluvvhclips,2900,126,1168643
UCvAAULM1jZP22Tu1A2ry7Ew,Inozen,628,55,158014
UCtNxjL-8WeFZ6LbfrOYgNoQ,Dash Empire,2280000,458,588430345
UCxEOHR2fK3aC3U46dPcXOXA,LongBit,15000,15,1860786
UCuqv5whXhwpDoO8Jpu8Ro0w,MythPlays,2260000,139,401335632
UCv5gQgP_uGbJxImWVoUC_Ng,Onespot Gaming,3570000,3218,1644200260
UCst9GLZ-X47MxWBmx9cCrKA,ZerkaaPlays,3030000,5626,1280388849
UCvxtKOR6P6RYu11TvIZee6w,KGL,8900,129,1065855
UC8ZPCRVw0cqnigpwGmwcm-w,todo,200000,502,51989908
UCV6mNrW8CrmWtcxWfQXy11g,DarkViperAU,2190000,4709,2791442484
UC-nK_RyvYeSikYYhklfLjbQ,VALOPIUM,20800,417,8096416
UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,12500000,1592,2491557906
UC4STOuaIY9iqh7Lzrq_EVYQ,AlexWhite,211000,2805,61122325
UCWVVNXhgFhV7gDoXFAcR0Pg,korey,27000,22,1707443
UCqtWRG0Qowhrcrp6rIqIiDw,Valkyrae2,380000,382,51461381
UCZU4cLDMHLrjlZxQRDOLu3g,Videoyun Meyhanesi,26500,623,9442955
UCHGRcNqWOSPmNWlUFD1fVmA,Frenzie,1470,107,2708612
UCXK_3pdEG6DytsxSjem13Sw,Fyrr,45500,395,18544790
UCxCDKxwrn6jMwTJvk6Z890g,Tricky,41800,223,7795855
UCKeVxi9ezkyp3mbuHjR4KSw,Narwax,70500,277,20739862
UCeg9FbbGppaOAx_uH15_yzg,lil yay,10400,142,5065624
UClylk2CQZtH7bSOuNJ66k4A,ImStillDontai,3020000,3124,1190364485
UCZC0OD6PACmz8kDOlhWfaCA,Mylan,45400,379,18617462
UCI86prlqXhbkREDMTaORvLQ,BeastBoyShub,7170000,1967,2649913137
UCjrK7tSE1Lq6x9ECLY8fYpg,Clyde Charge,726000,442,131439892
UClcXLR8VGP3soPjWuxNPriw,Variant,153000,419,33617876
UChMi8EKkLRkqlzmVZOrAV6A,Riotmaker650,17100,965,2753271
UCnanWSleEd5A3xRTu5SToZA,Aishok,730000,1088,264900394
UCrDN29TwJJogpb6f3jBjkgQ,Jerry FPS,56000,380,14771685
UCWdakSqVv4KiQAMg4vNaASQ,Mossi,102000,52,7752422
UC5n_8kS0RFIKuCsPoUCVd8A,R2 Habib,225000,211,22914007
UCHa0jpbaRolbOOCAMhP54pQ,INTER,504000,1503,279874619
UCIVMwNQ7844mZsjioykzoSQ,Maikey Minecraft,23500,16,2936360
UCiQotbmKsXF1n3xp3MYvoiw,SanInPlay,1340000,3474,223364195
UCHNd-wW9s1d7VGvd3qJgp5g,rooney,31000,126,4013092
UCXeDiRo3IPvRhM6Osbj6IAg,SayaFPS,5040,93,959259
UCouDFl6F4axVK7Gr4TW8xEw,Lynx,8100,925,3457969
UCXa_bzvv7Oo1glaW9FldDhQ,GamingBolt,1340000,8933,652642564
UCzYfz8uibvnB7Yc1LjePi4g,Aphmau,24800000,5769,29168717643
UCJHBJ7F-nAIlMGolm0Hu4vg,Maizen,16800000,1375,14582123733
UC6oZjOA29hIu8PsKtC3EU2A,Night Sky,12300,190,5185296
UCQVfy3QRi9zM7hp1m6ECKcg,AlphaExtra,765000,114,133936503
UCb6q0GwOgmbPHP6GgMglhsQ,Flyend GamerZ ,9230,7,1225409
UCdWQcfu5saC10yROVnziiJw,Misteri,4830,39,850629
UCoQN2J0ry-21oJaBXIjeh2Q,Minecraft Funny TC,1490,21,590100
UCMDPWwB2ktPaNgZHwdAo_HQ,Radiant MVPS,62400,543,7301739
UCQH_OGW_v_depQ0FwN77dfg,McBigness,1590000,491,1093874271
UCTdoDto-462URH6xbjPbNjg,staim,2700,85,485007
UCKfks-0u2q8Lyu4TMun09eA,Daily HUBRANX ,20500,672,6152065
UCRXcryyD7dzNQzd0Zkbj3ug,Julien Chièze,928000,6983,497618356
UCi5-loC4B9rCp9oxXvFPCnw,Skippy T,429000,216,30345034
UClXKeHu51AgEs50DDbl1Q1g,CrazyChamps,42400,63,4570570
UCK9geosTVSGgVyDZqt9a8Dw,snowygomeow,45,5,6982
UCRAuOZk8gqxeTg9Ix3DxaDw,UnderwaterPixel,16500,1338,7875104
UCboqh2MKjzK0cFZpX1sB-NQ,Atom Guy,432000,1302,162047578
UC8CuM9DxDFfJjTnZzT_23ZA,Rumble Ron,61300,55,9351667
UCHUMCTTBmxODFAdibMC7v7Q,Haeyoday,70800,547,12406121
UCpfR5BDa3zhjtmYK4-Q7NnQ,Mikey Spikey,385000,1171,140317944
UCYHh9SvqmbNuIRIJM2_bJyQ,Alyska,382000,1893,77806705
UCDGmZYT5QfvfEXgzaEAYNpg,Jeux Vidéo Magazine,409000,8851,234765643
UCW3Sbu9ZFb2g2thct6mZlXA,Flame playz,1460000,266,436076724
UC2bW_AY9BlbYLGJSXAbjS4Q,Live Speedy,16600000,2563,4957449834
UC42gjZ0jO58dT0ZIZmCPGsg,Red parasite,426000,551,102808086
UC1_PJ9hWfuurTjmcBkNlo4A,TenZ Replay,111000,307,27485211
UCMADgd6otGvJJdG7IiUNpZw,Otter  ASMR ,7650,78,1839868
UCgLB--yryImZBf7KPf86rOQ,YSP Gamer Boy,4950,2,695220
UCEuN0IauvXNTn6KhP9AVJVw,xNestorio,6780000,1617,1704905754
UCxm-rmArnUkNc-Lpf5s6X8g,AdiSpot,2110000,277,489002747
UCstasjKea1Mrvbk475-JCuQ,KgProz,10500,79,1472594
