video_id,comment_id,parent_id,author_channel_id,author_display_name,text,like_count,reply_count,published_at,is_reply,niche
vjhKzvhW-fc,UgyVpgVdj3LrWTWt9d14AaABAg.9xyFT-Xhntd9y18G6gceeP,UgyVpgVdj3LrWTWt9d14AaABAg,UCWRai7d9pvNlU2im2L-uSuA,@mdwl6074,are you out of your mind? @cayden2744,0,0,2023-12-07T15:24:21Z,True,gta6
oP-X1qOpekM,UgxWCuJRyY1jxp33AIt4AaABAg.AWhjoEuIOY6AWhmWMftgvV,UgxWCuJRyY1jxp33AIt4AaABAg,UC8XTs1sZvWgZmYpaY6zpBdw,@lucasmatteus1386,SÓ MAIS 72 HORAS,2,0,2026-05-12T12:30:58Z,True,gta6
oP-X1qOpekM,UgwtEBmpt8PmrbTWlgh4AaABAg,,UCWMVmpzB9_7H7v5jgyDHoCg,@Acerfbs,Lançaram um post lá no Bilibili,4,1,2026-05-12T12:18:12Z,False,gta6
dF5NEiYZiyI,UgxDZn2dCEO84p-urEd4AaABAg.AWaOOUJPpkcAWaOfJSntki,UgxDZn2dCEO84p-urEd4AaABAg,UC9M2ux-38XdA_HddFWY39iA,@PkvshashinPkvshashin,Bro athu kapuram kaka maraithu tan gta 6 la pay & sprey car paint shop iruka soluga pls,1,0,2026-05-09T15:39:11Z,True,gta6
1VhRLHMlJVI,Ugy81ciVmaOGvdItOxx4AaABAg.ASmU0nAiya_ASmlf5g6HOD,Ugy81ciVmaOGvdItOxx4AaABAg,UCqTXpNmuEAzL6-6LLjV3h6A,@trashtalk2391,Delay again bro,0,0,2026-02-04T00:54:11Z,True,gta6
1VhRLHMlJVI,UgxLcBbW1k7Z9AGvX0J4AaABAg.ASmYaFlV1mEASnqnj0gQ3Z,UgxLcBbW1k7Z9AGvX0J4AaABAg,UCpfn5G47s7HQ_2OrSV6OC4w,@BatmanZen777,Yes it is keep crying cope.,0,0,2026-02-04T10:58:18Z,True,gta6
ZLbC6n1F9Gw,UgzPE-7_vyOEv8nLT8d4AaABAg.9yMXnWmJYuh9yOhkQsGvJB,UgzPE-7_vyOEv8nLT8d4AaABAg,UCvJtirG5X6ZSf9QGgXPQXGQ,@popcornpizza8869,Ok,3,0,2023-12-16T19:05:44Z,True,gta6
x_PjRBsJJ7o,Ugw04XY9u4o1GmmMKe94AaABAg,,UCPXL5HvIyvZVb6T8tj9-HlQ,@raimancreative5413,W,1,0,2025-12-26T01:39:32Z,False,gta6
fSDjxjSohRM,UgyfSy6k4Y-gzfhVvCV4AaABAg.ATHl7r1SEK4ATJRGPsDSry,UgyfSy6k4Y-gzfhVvCV4AaABAg,UCxbVXxLnhulByfO5Al1jFpg,@mananchoudhary3671,​@studsujeetwelcome 😸,1,0,2026-02-17T02:41:21Z,True,gta6
UHwzH8lbDkI,Ugy15nCIRDPBzP6RaYh4AaABAg.AHnK58KAZ-FAHnRM0D8MbE,Ugy15nCIRDPBzP6RaYh4AaABAg,UCycAi5tg1_O2LtXu12mfDAA,@dylanbenjamin2632,How original,1,0,2025-05-06T21:21:51Z,True,gta6
pDMOinz0wcA,UgyB9g9pf_OwgNZf-q54AaABAg,,UCCwClzIJ6XEEk_cZYMwDlmA,@Adam-by8rs,Class to see your back! Hope all is well Cyber,0,0,2025-10-08T16:34:17Z,False,gta6
